Entity,Year,MentalHealthDALY
Slovenia,2021,5.638814473487543e-05
Slovenia,2021,2.4391684986152863e-09
Slovenia,2021,2.7245236894769674e-06
Sudan,2018,0.0035067667621718
Sudan,2018,1.7392121745665533e-08
Sudan,2018,8.573599934339235e-06
Russian Federation,2018,7.394483544221901
Russian Federation,2018,4.13853469420874e-06
Russian Federation,2018,0.0050615769397158
Afghanistan,2019,0.0025910499974678
Afghanistan,2019,1.1929226229654754e-08
Afghanistan,2019,8.850640392063993e-06
Malta,2021,0.0190330131077502
Malta,2021,4.715085783542968e-06
Malta,2021,0.0043039779827758
Syrian Arab Republic,2021,0.0026198054739104
Syrian Arab Republic,2021,2.4933164353164675e-08
Syrian Arab Republic,2021,1.867230230541269e-05
Trinidad and Tobago,2021,0.0008750974221653
Trinidad and Tobago,2021,5.2100931981486165e-08
Trinidad and Tobago,2021,6.281495200394372e-05
Netherlands,2021,5.782375945954263
Netherlands,2021,3.405959522471048e-05
Netherlands,2021,0.0335976385673806
Bolivia (Plurinational State of),2021,0.0322389089717488
Bolivia (Plurinational State of),2021,2.649913611218283e-07
Bolivia (Plurinational State of),2021,0.0002732776019907
Togo,2021,0.0015393078897485
Togo,2021,2.443711391051958e-08
Togo,2021,1.8388732467510816e-05
Maldives,2018,0.0011252917463281
Maldives,2018,8.91216951478247e-07
Maldives,2018,0.0002381638450451
Vanuatu,2018,4.911753930131283e-05
Vanuatu,2018,2.6447555609635344e-08
Vanuatu,2018,1.6724563606793896e-05
Guinea-Bissau,2019,0.0002987876802202
Guinea-Bissau,2019,1.8895546908315053e-08
Guinea-Bissau,2019,1.5147805890914776e-05
Tonga,2019,4.308717871307466e-05
Tonga,2019,6.500245690411467e-08
Tonga,2019,4.0691812948988496e-05
Kiribati,2021,8.593767014283573e-05
Kiribati,2021,8.741952323343267e-08
Kiribati,2021,7.092850788092052e-05
Liberia,2019,0.0007407557773785
Liberia,2019,2.094300830161381e-08
Liberia,2019,1.4240621711898623e-05
Democratic People's Republic of Korea,2021,0.2102141933156579
Democratic People's Republic of Korea,2021,8.623493408176332e-07
Democratic People's Republic of Korea,2021,0.0007964992648887
Cabo Verde,2021,0.00011497156946
Cabo Verde,2021,3.1473446265795964e-08
Cabo Verde,2021,2.0557728768847688e-05
Guatemala,2018,0.1238449819779932
Guatemala,2018,1.4809067957553387e-06
Guatemala,2018,0.000810774171587
Mauritania,2018,0.0006385307832792
Mauritania,2018,2.9257642816857784e-08
Mauritania,2018,1.5519484208753583e-05
Burundi,2019,0.0012972018278451
Burundi,2019,1.5707734424996262e-08
Burundi,2019,1.0514453599618329e-05
Ukraine,2018,0.7323554960469109
Ukraine,2018,1.1577478189297908e-06
Ukraine,2018,0.0016565827794304
Chile,2018,0.4378238965405086
Chile,2018,4.125490203406321e-06
Chile,2018,0.0024145856079663
Czechia,2018,1.8595131271344845
Czechia,2018,1.6515347601703423e-05
Czechia,2018,0.0174864961052531
United Kingdom,2018,9.389352482255829
United Kingdom,2018,1.5473236712657853e-05
United Kingdom,2018,0.0140433549119858
Congo,2021,0.0026656631412409
Congo,2021,5.736743572538375e-08
Congo,2021,4.944101586815423e-05
Kuwait,2019,0.0079201901098275
Kuwait,2019,8.818944190450445e-07
Kuwait,2019,0.0001806000792756
Malaysia,2019,0.1599729110317504
Malaysia,2019,9.131760652328418e-07
Malaysia,2019,0.0005121029281854
Seychelles,2021,0.0007765375861861
Seychelles,2021,8.999871194012863e-07
Seychelles,2021,0.0007365328357587
China,2021,26.964029672690387
China,2021,2.307060454761126e-06
China,2021,0.0018952104287225
San Marino,2018,5.807050764421021e-06
San Marino,2018,1.80954399433934e-08
San Marino,2018,1.7852404359874697e-05
Denmark,2019,1.515086964688008
Denmark,2019,2.8125042765195403e-05
Denmark,2019,0.0261207508473377
New Zealand,2021,0.0026642016959183
New Zealand,2021,7.723578699088178e-08
