Entity,Year,WorkingHours,GeneralHappiness
Australia,1984,1799.912321,94.73932
Australia,1998,1842.964985,94.26124
Australia,2010,1755.149614,91.50835
Australia,2014,1761.341007,92.57456
Austria,2004,1776.465839,89.53736
Austria,2010,1665.843868,87.91252
Belgium,1984,1699.527246,88.16196
Belgium,1993,1559.483801,89.69501
Belgium,2004,1572.961356,92.04511
Belgium,2010,1545.848011,94.34523
Canada,1984,1789.406051,95.82815
Canada,1993,1768.947568,77.50977
Canada,2004,1759.083322,95.53561
Canada,2010,1703.027239,95.21655
Chile,1993,2389.401,71.86667
Chile,1998,2299.0,79.6184
Chile,2004,2232.0,79.83334
Chile,2010,2070.0,79.49508
Chile,2014,1990.0,84.5
Czechia,1993,1856.902645,75.86548
Czechia,1998,1877.418279,82.65039
Czechia,2004,1817.061064,85.64784
Czechia,2010,1799.500518,83.44666
Denmark,1984,1540.641584,92.56869
Denmark,1993,1449.078586,93.59223
Denmark,2004,1458.155248,94.1349
Denmark,2010,1422.234935,96.34298
Estonia,2004,1986.460665,64.44458
Estonia,2010,1874.701697,78.81875
Estonia,2014,1859.431875,76.67517
Finland,1984,1813.701331,93.02094
Finland,1993,1755.339426,86.56462
Finland,1998,1754.397157,91.18541
Finland,2004,1707.322211,89.53609
Finland,2010,1667.767131,88.73833
France,1984,1664.953824,88.92851
France,1993,1614.078861,91.41716
France,2004,1525.996679,90.68565
France,2010,1527.950982,91.03752
Germany,1984,1687.961907,79.14165
Germany,1993,1541.576245,81.29448
Germany,1998,1493.581899,80.55282
Germany,2004,1422.223352,83.77943
Germany,2010,1389.882984,81.0883
Germany,2014,1367.079115,84.04735
Greece,2004,2082.551818,72.94221
Greece,2010,2019.570798,79.45255
Hungary,1984,2212.686007,76.49072
Hungary,1993,2060.618941,67.46747
Hungary,1998,2022.893187,77.38461
Hungary,2004,1986.123771,70.51169
Hungary,2010,1776.988096,77.69496
Iceland,1984,2023.386616,96.33144
Iceland,1993,2025.0,95.58405
Iceland,2004,1980.0,97.00414
Iceland,2010,1834.0,96.14194
Ireland,1984,2055.958995,92.61234
Ireland,1993,1970.904683,91.6
Ireland,2004,1875.255957,95.83045
Ireland,2010,1801.2774,94.89127
Israel,2004,1973.28578,77.39783
Italy,1984,1862.60847,75.60797
Italy,1993,1859.835609,83.18219
Italy,2004,1815.341602,79.14999
Italy,2010,1777.273649,85.74989
Japan,1984,2108.0,76.98927
Japan,1993,1905.0,77.7448
Japan,1998,1842.0,89.08919
Japan,2004,1787.0,86.49046
Japan,2010,1733.0,87.22628
Japan,2014,1729.0,86.45108
Latvia,1998,1975.90864,68.83334
Latvia,2004,1878.398073,56.46594
Latvia,2010,1935.146798,74.493
Lithuania,1998,1779.593817,54.70763
Lithuania,2004,1878.556131,60.83028
Lithuania,2010,1884.286597,65.66721
Luxembourg,2004,1577.873082,93.53432
Luxembourg,2010,1516.514813,93.63568
Mexico,1993,2111.527742,67.60287
Mexico,1998,2168.146987,69.60265
Mexico,2004,2123.367938,91.01376
Mexico,2010,2128.022383,90.64103
Mexico,2014,2131.022623,94.25
Netherlands,1984,1516.241321,94.80543
Netherlands,1993,1438.228905,93.10358
Netherlands,2004,1447.527828,95.0388
Netherlands,2010,1421.341194,95.50652
Netherlands,2014,1428.87563,92.42902
New Zealand,1998,1829.0,94.33805
New Zealand,2010,1755.0,96.43606
New Zealand,2014,1762.0,92.39001
Norway,1984,1548.61461,92.19791
Norway,1993,1506.58858,93.46246
Norway,1998,1475.71116,94.32121
Norway,2010,1426.476264,95.84815
Poland,1993,2159.452111,68.02084
Poland,1998,2130.008836,85.25585
Poland,2004,2084.532823,77.28551
Poland,2010,2048.800023,85.76341
Poland,2014,2041.321912,92.61225
Portugal,1993,1827.387816,72.75937
Portugal,2004,1892.810287,83.44766
Portugal,2010,1889.757623,89.85663
Russia,1993,1939.0,47.22081
Russia,1998,1946.0,50.19608
Russia,2004,1993.0,48.13385
Russia,2010,1976.0,67.51584
Russia,2014,1985.0,73.44671
Slovakia,1998,1821.860709,71.41553
Slovakia,2004,1741.994328,68.91756
Slovakia,2010,1805.150197,81.25195
Slovenia,1998,1727.963714,73.78352
Slovenia,2004,1736.568413,75.94434
Slovenia,2010,1680.142064,81.22367
Slovenia,2014,1681.897651,83.25538
South Africa,2004,2342.272896,77.3448
South Africa,2010,2235.742364,77.83786
South Africa,2014,2209.09199,76.35912
Spain,1984,1786.374103,77.75384
Spain,1993,1739.807502,83.34064
Spain,1998,1750.964244,86.53486
Spain,2004,1741.506898,86.51347
Spain,2010,1710.395733,90.89694
Spain,2014,1694.58252,86.3922
Sweden,1984,1548.269554,93.81551
Sweden,1993,1596.999098,95.41547
Sweden,1998,1656.319015,93.95441
Sweden,2004,1605.510468,93.39589
Sweden,2010,1635.006781,91.55124
Sweden,2014,1609.42289,94.51546
Switzerland,1993,1689.379024,93.38536
Switzerland,1998,1665.843359,94.3251
Switzerland,2010,1624.342848,92.94263
Turkey,1993,1917.0,81.06796
Turkey,1998,1884.0,88.32067
Turkey,2004,1918.0,72.18719
Turkey,2010,1877.0,78.956
Turkey,2014,1832.0,83.80663
United Kingdom,1984,1717.612978,94.96825
United Kingdom,1993,1711.64559,90.88806
United Kingdom,1998,1720.471845,90.58507
United Kingdom,2010,1630.139902,92.49185
United States,1984,1765.527518,90.32454
United States,1993,1766.763507,87.88667
United States,1998,1829.637104,93.82487
United States,2004,1759.318777,93.052
United States,2010,1709.164981,93.13236
United States,2014,1741.019305,89.54961
Austria,1996,1807.270617,93.234474
Austria,1997,1815.691956,83.727531
Austria,1998,1794.030507,83.372276
Austria,1999,1797.971353,83.562508
Austria,2000,1798.432211,80.772339
Austria,2001,1785.420148,85.599884
Austria,2002,1782.84794,83.09864
Austria,2003,1773.977855,82.47834
Austria,2005,1752.489349,85.311844
Austria,2006,1735.669533,84.013351
Austria,2007,1724.77914,85.824425
Austria,2008,1717.1951,80.431259
Austria,2009,1673.075108,82.660095
Austria,2011,1671.687791,84.433296
Austria,2012,1647.852876,85.346962
Austria,2013,1632.067625,83.36956
Austria,2014,1621.565765,90.076302
Austria,2015,1598.894375,86.381081
Austria,2016,1609.352282,84.688965
Belgium,1973,1820.564796,92.0
Belgium,1975,1783.553314,88.906372
Belgium,1976,1785.553934,89.726608
Belgium,1977,1760.546176,89.721428
Belgium,1978,1743.540901,88.631905
Belgium,1979,1727.535936,89.5112
Belgium,1980,1707.529729,88.504578
Belgium,1981,1683.522281,84.404633
